// map
0, 0, 0, 0, 0, 0, 0, 0
0, 0,10,10,10,10, 0, 0
0, 6, 1, 1, 1, 1, 4, 0
0, 2,10,10,10,10, 2, 0
0, 9, 1, 1, 1, 1, 8, 0
0, 2,10,10,10,10, 2, 0
1, 7, 1, 1, 1, 1, 7, 1
0, 2,10,10,10,10, 2, 0
0, 9, 1, 1, 1, 1, 8, 0
0, 2,10,10,10,10, 2, 0
0, 5, 1, 1, 1, 1, 3, 0
// button
0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0
0, 0,21,22,23,24, 0, 0
0, 0, 0, 0, 0, 0, 0, 0
0, 0,25,26,27,28, 0, 0
0, 0, 0, 0, 0, 0, 0, 0
0, 0,29,30,31,32, 0, 0
0, 0, 0, 0, 0, 0, 0, 0
0, 0,33,34,35,36, 0, 0
0, 0, 0, 0, 0, 0, 0, 0
0, 0,37,38,39,40, 0, 0
grass.jpg
house01.png


