map
0, 0, 0, 0, 0, 0, 0, 0
0, 0,10,10,10,10, 0, 0
0, 6, 1, 1, 1, 1, 4, 0
0, 2,10,10,10,10, 2, 0
0, 9, 1, 1, 1, 1, 8, 0
0, 2,10,10,10,10, 2, 0
1, 7, 1, 1, 1, 1, 7, 1
0, 2,10,10,10,10, 2, 0
0, 9, 1, 1, 1, 1, 8, 0
0, 2,10,10,10,10, 2, 0
0, 5, 1, 1, 1, 1, 3, 0
button
0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 2, 3, 4, 0, 0
0, 0, 0, 0, 0, 0, 0, 0
0, 0, 5, 6, 7, 8, 0, 0
0, 0, 0, 0, 0, 0, 0, 0
0, 0, 9,10,11,12, 0, 0
0, 0, 0, 0, 0, 0, 0, 0
0, 0,13,14,15,16, 0, 0
0, 0, 0, 0, 0, 0, 0, 0
0, 0,17,18,19,20, 0, 0



